# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun  5 17:54:41 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.400854256e+00 6.46945e-127 2.50441e-124 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98728e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.58734e-03
1.400868265e+00 3.28120e-120 1.26509e-117 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98428e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.60318e-03
1.400882273e+00 4.73594e-122 1.82228e-119 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98648e-01 1.00000e+00 1.00000e+00 9.96775e-01 2.61911e-03
1.400896282e+00 1.09199e-120 4.15408e-118 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98300e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.63515e-03
1.400910291e+00 3.93985e-80 1.49715e-77 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95004e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.65128e-03
1.400924300e+00 4.35040e-64 1.63733e-61 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95707e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.66750e-03
1.400938310e+00 1.04131e-55 3.90108e-53 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.94362e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.68383e-03
1.400952319e+00 1.14074e-50 4.24216e-48 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95367e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.70026e-03
1.400966329e+00 8.05628e-48 2.97466e-45 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97915e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.71679e-03
1.400980338e+00 6.11633e-47 2.24870e-44 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98310e-01 1.00000e+00 1.00000e+00 9.96776e-01 2.73342e-03
1.400994348e+00 4.85492e-48 1.77853e-45 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97125e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.75016e-03
1.401008358e+00 4.90809e-54 1.79076e-51 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.95460e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.76699e-03
1.401022368e+00 1.11207e-71 4.03849e-69 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.94245e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.78393e-03
1.401036378e+00 1.97277e-94 7.13966e-92 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.94032e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.80097e-03
1.401050389e+00 2.44665e-136 8.76863e-134 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.91947e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.81812e-03
1.401064399e+00 5.92457e-70 2.09550e-67 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.94997e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.83537e-03
1.401078410e+00 1.83845e-48 6.45893e-46 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97979e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.85273e-03
1.401092421e+00 2.78165e-40 9.72210e-38 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97957e-01 1.00000e+00 1.00000e+00 9.96777e-01 2.87019e-03
1.401106431e+00 5.23064e-37 1.83282e-34 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.93780e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.88776e-03
1.401120443e+00 5.07559e-36 1.77182e-33 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.88214e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.90544e-03
1.401134454e+00 9.58087e-37 3.30770e-34 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96544e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.92323e-03
1.401148465e+00 6.12994e-40 2.10222e-37 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96519e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.94113e-03
1.401162477e+00 9.20333e-48 3.13929e-45 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97499e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.95913e-03
1.401176488e+00 1.14724e-69 3.88474e-67 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97824e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.97725e-03
1.401190500e+00 1.31809e-66 4.40967e-64 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97454e-01 1.00000e+00 1.00000e+00 9.96778e-01 2.99548e-03
1.401204512e+00 1.52718e-54 5.07961e-52 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.98369e-01 1.00000e+00 1.00000e+00 9.96778e-01 3.01382e-03
1.401218524e+00 9.12683e-53 3.03028e-50 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96450e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.03227e-03
1.401232536e+00 1.47027e-54 4.87089e-52 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96593e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.05084e-03
1.401246548e+00 8.46561e-62 2.78166e-59 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.96589e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.06952e-03
1.401260561e+00 5.38412e-76 1.76113e-73 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.93403e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.08831e-03
1.401274573e+00 8.25248e-102 2.69866e-99 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.92550e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.10722e-03
1.401288586e+00 5.10034e-152 1.64901e-149 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97027e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.12624e-03
1.401302599e+00 1.51378e-263 4.85260e-261 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97267e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.14539e-03
1.401316612e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.93905e-01 1.00000e+00 1.00000e+00 9.96779e-01 3.16465e-03
1.401330625e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.97259e-01 1.00000e+00 1.00000e+00 9.96780e-01 3.18402e-03
